"Municipio";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"355030 SAO PAULO";47322;7123;3702;4940;21638;60196;74923;123079;200043;272227;333485;463056;4190;1615924
"Total";47322;7123;3702;4940;21638;60196;74923;123079;200043;272227;333485;463056;4190;1615924
