;WEEK_PRI;YEAR_PRI;CASES
0;01;2000;17
1;01;2001;18
2;01;2002;1036
3;01;2003;17
4;01;2004;15
5;01;2005;7
6;01;2006;28
7;01;2007;29
8;01;2008;551
9;01;2009;23
10;01;2010;11
11;01;2011;225
12;01;2012;420
13;01;2013;147
14;01;2014;26
15;01;2015;14
16;01;2016;85
17;01;2017;143
18;01;2018;62
19;01;2019;147
20;01;2020;59
21;01;2021;6
22;01;2022;9
23;01;2023;103
24;02;2000;24
25;02;2001;47
26;02;2002;2465
27;02;2003;28
28;02;2004;11
29;02;2005;3
30;02;2006;44
31;02;2007;47
32;02;2008;737
33;02;2009;43
34;02;2010;13
35;02;2011;293
36;02;2012;308
37;02;2013;225
38;02;2014;35
39;02;2015;7
40;02;2016;58
41;02;2017;173
42;02;2018;76
43;02;2019;126
44;02;2020;78
45;02;2021;6
46;02;2022;8
47;02;2023;79
48;03;2000;34
49;03;2001;68
50;03;2002;5913
51;03;2003;34
52;03;2004;5
53;03;2005;2
54;03;2006;75
55;03;2007;66
56;03;2008;944
57;03;2009;33
58;03;2010;15
59;03;2011;290
60;03;2012;289
61;03;2013;223
62;03;2014;29
63;03;2015;15
64;03;2016;75
65;03;2017;163
66;03;2018;97
67;03;2019;152
68;03;2020;63
69;03;2021;6
70;03;2022;9
71;03;2023;115
72;04;2000;37
73;04;2001;194
74;04;2002;6848
75;04;2003;33
76;04;2004;14
77;04;2005;3
78;04;2006;111
79;04;2007;91
80;04;2008;947
81;04;2009;42
82;04;2010;18
83;04;2011;513
84;04;2012;299
85;04;2013;267
86;04;2014;30
87;04;2015;17
88;04;2016;56
89;04;2017;193
90;04;2018;73
91;04;2019;143
92;04;2020;52
93;04;2021;19
94;04;2022;5
95;04;2023;133
96;05;2000;28
97;05;2001;315
98;05;2002;7269
99;05;2003;30
100;05;2004;10
101;05;2005;1
102;05;2006;123
103;05;2007;138
104;05;2008;664
105;05;2009;69
106;05;2010;25
107;05;2011;797
108;05;2012;316
109;05;2013;333
110;05;2014;23
111;05;2015;21
112;05;2016;59
113;05;2017;165
114;05;2018;81
115;05;2019;122
116;05;2020;53
117;05;2021;17
118;05;2022;21
119;05;2023;180
120;06;2000;31
121;06;2001;373
122;06;2002;7259
123;06;2003;42
124;06;2004;5
125;06;2005;5
126;06;2006;116
127;06;2007;155
128;06;2008;830
129;06;2009;65
130;06;2010;20
131;06;2011;1208
132;06;2012;361
133;06;2013;296
134;06;2014;24
135;06;2015;17
136;06;2016;96
137;06;2017;166
138;06;2018;58
139;06;2019;114
140;06;2020;41
141;06;2021;13
142;06;2022;23
143;06;2023;265
144;07;2000;37
145;07;2001;332
146;07;2002;6594
147;07;2003;25
148;07;2004;7
149;07;2005;7
150;07;2006;131
151;07;2007;149
152;07;2008;1090
153;07;2009;31
154;07;2010;29
155;07;2011;1589
156;07;2012;430
157;07;2013;460
158;07;2014;25
159;07;2015;22
160;07;2016;115
161;07;2017;171
162;07;2018;60
163;07;2019;124
164;07;2020;53
165;07;2021;13
166;07;2022;16
167;07;2023;167
168;08;2000;35
169;08;2001;213
170;08;2002;7377
171;08;2003;32
172;08;2004;5
173;08;2005;4
174;08;2006;87
175;08;2007;152
176;08;2008;1412
177;08;2009;18
178;08;2010;30
179;08;2011;1790
180;08;2012;540
181;08;2013;794
182;08;2014;24
183;08;2015;41
184;08;2016;91
185;08;2017;89
186;08;2018;87
187;08;2019;125
188;08;2020;44
189;08;2021;21
190;08;2022;32
191;08;2023;203
192;09;2000;23
193;09;2001;308
194;09;2002;6929
195;09;2003;26
196;09;2004;8
197;09;2005;2
198;09;2006;94
199;09;2007;200
200;09;2008;1751
201;09;2009;28
202;09;2010;33
203;09;2011;1647
204;09;2012;726
205;09;2013;1413
206;09;2014;11
207;09;2015;60
208;09;2016;126
209;09;2017;93
210;09;2018;83
211;09;2019;107
212;09;2020;40
213;09;2021;13
214;09;2022;33
215;09;2023;419
216;10;2000;45
217;10;2001;406
218;10;2002;9566
219;10;2003;27
220;10;2004;14
221;10;2005;4
222;10;2006;146
223;10;2007;225
224;10;2008;2302
225;10;2009;21
226;10;2010;29
227;10;2011;1756
228;10;2012;966
229;10;2013;2025
230;10;2014;10
231;10;2015;72
232;10;2016;119
233;10;2017;91
234;10;2018;134
235;10;2019;157
236;10;2020;49
237;10;2021;20
238;10;2022;54
239;10;2023;430
240;11;2000;42
241;11;2001;406
242;11;2002;8624
243;11;2003;27
244;11;2004;2
245;11;2005;4
246;11;2006;139
247;11;2007;289
248;11;2008;2713
249;11;2009;31
250;11;2010;25
251;11;2011;2907
252;11;2012;1194
253;11;2013;2744
254;11;2014;16
255;11;2015;90
256;11;2016;122
257;11;2017;117
258;11;2018;126
259;11;2019;277
260;11;2020;38
261;11;2021;29
262;11;2022;64
263;11;2023;508
264;12;2000;55
265;12;2001;544
266;12;2002;5758
267;12;2003;16
268;12;2004;3
269;12;2005;1
270;12;2006;154
271;12;2007;297
272;12;2008;2507
273;12;2009;23
274;12;2010;40
275;12;2011;4583
276;12;2012;1720
277;12;2013;2828
278;12;2014;17
279;12;2015;101
280;12;2016;178
281;12;2017;96
282;12;2018;143
283;12;2019;365
284;12;2020;20
285;12;2021;29
286;12;2022;112
287;12;2023;728
288;13;2000;74
289;13;2001;785
290;13;2002;3678
291;13;2003;26
292;13;2004;4
293;13;2005;2
294;13;2006;145
295;13;2007;243
296;13;2008;3916
297;13;2009;9
298;13;2010;31
299;13;2011;4369
300;13;2012;2198
301;13;2013;2489
302;13;2014;16
303;13;2015;148
304;13;2016;298
305;13;2017;92
306;13;2018;177
307;13;2019;536
308;13;2020;28
309;13;2021;33
310;13;2022;98
311;13;2023;748
312;14;2000;80
313;14;2001;1210
314;14;2002;2448
315;14;2003;14
316;14;2004;8
317;14;2005;2
318;14;2006;127
319;14;2007;229
320;14;2008;3348
321;14;2009;17
322;14;2010;32
323;14;2011;4619
324;14;2012;2364
325;14;2013;2653
326;14;2014;17
327;14;2015;236
328;14;2016;354
329;14;2017;90
330;14;2018;222
331;14;2019;775
332;14;2020;27
333;14;2021;50
334;14;2022;144
335;14;2023;725
336;15;2000;91
337;15;2001;1143
338;15;2002;1426
339;15;2003;6
340;15;2004;2
341;15;2005;5
342;15;2006;93
343;15;2007;275
344;15;2008;2500
345;15;2009;12
346;15;2010;34
347;15;2011;3836
348;15;2012;2903
349;15;2013;2530
350;15;2014;19
351;15;2015;213
352;15;2016;277
353;15;2017;73
354;15;2018;210
355;15;2019;878
356;15;2020;16
357;15;2021;50
358;15;2022;130
359;15;2023;886
360;16;2000;103
361;16;2001;1601
362;16;2002;844
363;16;2003;3
364;16;2004;3
365;16;2005;4
366;16;2006;116
367;16;2007;224
368;16;2008;1889
369;16;2009;8
370;16;2010;47
371;16;2011;4224
372;16;2012;3661
373;16;2013;2636
374;16;2014;22
375;16;2015;323
376;16;2016;210
377;16;2017;70
378;16;2018;190
379;16;2019;917
380;16;2020;22
381;16;2021;27
382;16;2022;154
383;16;2023;750
384;17;2000;155
385;17;2001;2222
386;17;2002;483
387;17;2003;8
388;17;2004;3
389;17;2005;7
390;17;2006;90
391;17;2007;175
392;17;2008;1343
393;17;2009;4
394;17;2010;70
395;17;2011;5583
396;17;2012;3727
397;17;2013;1884
398;17;2014;19
399;17;2015;350
400;17;2016;182
401;17;2017;78
402;17;2018;197
403;17;2019;1067
404;17;2020;17
405;17;2021;42
406;17;2022;214
407;17;2023;810
408;18;2000;141
409;18;2001;2538
410;18;2002;356
411;18;2003;9
412;18;2004;3
413;18;2005;5
414;18;2006;116
415;18;2007;285
416;18;2008;838
417;18;2009;5
418;18;2010;78
419;18;2011;4608
420;18;2012;2868
421;18;2013;872
422;18;2014;15
423;18;2015;292
424;18;2016;154
425;18;2017;71
426;18;2018;225
427;18;2019;1184
428;18;2020;15
429;18;2021;21
430;18;2022;301
431;18;2023;963
432;19;2000;168
433;19;2001;2196
434;19;2002;291
435;19;2003;4
436;19;2004;2
437;19;2005;4
438;19;2006;79
439;19;2007;307
440;19;2008;576
441;19;2009;7
442;19;2010;54
443;19;2011;4203
444;19;2012;2547
445;19;2013;513
446;19;2014;11
447;19;2015;309
448;19;2016;119
449;19;2017;70
450;19;2018;236
451;19;2019;1359
452;19;2020;18
453;19;2021;35
454;19;2022;334
455;19;2023;993
456;20;2000;176
457;20;2001;1457
458;20;2002;101
459;20;2003;8
460;20;2004;3
461;20;2005;5
462;20;2006;56
463;20;2007;229
464;20;2008;339
465;20;2009;4
466;20;2010;67
467;20;2011;3371
468;20;2012;1857
469;20;2013;358
470;20;2014;18
471;20;2015;259
472;20;2016;79
473;20;2017;41
474;20;2018;222
475;20;2019;1176
476;20;2020;6
477;20;2021;49
478;20;2022;247
479;20;2023;889
480;21;2000;136
481;21;2001;1178
482;21;2002;73
483;21;2003;3
484;21;2004;3
485;21;2005;1
486;21;2006;57
487;21;2007;217
488;21;2008;205
489;21;2009;7
490;21;2010;55
491;21;2011;2546
492;21;2012;1597
493;21;2013;265
494;21;2014;14
495;21;2015;268
496;21;2016;73
497;21;2017;29
498;21;2018;129
499;21;2019;1127
500;21;2020;6
501;21;2021;36
502;21;2022;260
503;21;2023;743
504;22;2000;111
505;22;2001;1223
506;22;2002;30
507;22;2003;6
508;22;2005;4
509;22;2006;47
510;22;2007;152
511;22;2008;166
512;22;2009;4
513;22;2010;39
514;22;2011;2161
515;22;2012;1084
516;22;2013;158
517;22;2014;8
518;22;2015;271
519;22;2016;84
520;22;2017;41
521;22;2018;137
522;22;2019;900
523;22;2020;6
524;22;2021;32
525;22;2022;201
526;22;2023;710
527;23;2000;73
528;23;2001;1206
529;23;2002;37
530;23;2003;1
531;23;2005;5
532;23;2006;32
533;23;2007;153
534;23;2008;72
535;23;2009;17
536;23;2010;25
537;23;2011;1321
538;23;2012;751
539;23;2013;110
540;23;2014;19
541;23;2015;230
542;23;2016;90
543;23;2017;36
544;23;2018;129
545;23;2019;713
546;23;2020;4
547;23;2021;25
548;23;2022;170
549;23;2023;633
550;24;2000;71
551;24;2001;815
552;24;2002;36
553;24;2003;7
554;24;2004;4
555;24;2005;1
556;24;2006;21
557;24;2007;191
558;24;2008;79
559;24;2009;10
560;24;2010;53
561;24;2011;986
562;24;2012;531
563;24;2013;107
564;24;2014;14
565;24;2015;225
566;24;2016;46
567;24;2017;24
568;24;2018;125
569;24;2019;543
570;24;2020;8
571;24;2021;26
572;24;2022;99
573;24;2023;664
574;25;2000;46
575;25;2001;754
576;25;2002;25
577;25;2003;1
578;25;2005;5
579;25;2006;28
580;25;2007;153
581;25;2008;53
582;25;2009;1
583;25;2010;28
584;25;2011;608
585;25;2012;390
586;25;2013;101
587;25;2014;8
588;25;2015;136
589;25;2016;72
590;25;2017;20
591;25;2018;108
592;25;2019;401
593;25;2020;7
594;25;2021;15
595;25;2022;113
596;25;2023;578
597;26;2000;23
598;26;2001;527
599;26;2002;31
600;26;2003;1
601;26;2004;3
602;26;2005;4
